filename,class,rise_time,decay_time,zcr,even_components,odd_components,spectral_centroid,spectral_irregularity
D2.wav,kontrabas,0.065329,0.001542,0.003000,39.555696,43.836376,689.470544,0.655315
d3.wav,kontrabas,0.048753,0.001678,0.009000,24.811181,26.416694,518.236764,0.891071
d4.wav,kontrabas,0.016667,0.001723,0.023000,76.848542,67.229763,744.153128,0.939517
Dis2.wav,kontrabas,0.064172,0.001859,0.003000,27.391036,27.581833,627.075271,0.570746
dis3.wav,kontrabas,0.047302,0.001361,0.009000,18.400859,19.318520,567.780456,0.882494
dis4.wav,kontrabas,0.017483,0.001542,0.016000,63.196551,57.109092,809.662610,0.892080
E2.wav,kontrabas,0.068073,0.003583,0.004000,23.391982,22.521691,658.269198,0.656508
e3.wav,kontrabas,0.042472,0.001633,0.011000,23.705319,23.413175,718.299553,0.829473
e4.wav,kontrabas,0.018662,0.001542,0.011000,35.119691,33.304477,906.855423,0.824464
F2.wav,kontrabas,0.032857,0.002925,0.004000,27.296120,25.542365,603.201906,0.684117
f4.wav,kontrabas,0.017302,0.002132,0.004000,23.942554,24.493768,652.627652,0.881393
Fis2.wav,kontrabas,0.066825,0.002245,0.004000,22.259327,17.298323,459.075477,0.759985
fis3.wav,kontrabas,0.022290,0.001088,0.009000,50.433656,47.542993,732.758951,0.814060
fis4.wav,kontrabas,0.045079,0.000658,0.017000,33.746028,33.233756,1213.070334,0.765412
Gis2.wav,kontrabas,0.056961,0.002313,0.005000,24.220583,20.027860,364.314818,0.909023
h4.wav,kontrabas,0.022109,0.001270,0.013000,31.562889,30.070566,650.248097,0.942020
A4.wav,skrzypce,0.036009,0.000431,0.020000,19.291997,20.852185,1023.620086,0.925363
A5.wav,skrzypce,0.004739,0.000522,0.040000,9.575383,9.894661,1722.917551,0.740632
A_4.wav,skrzypce,0.017846,0.000408,0.022000,14.776703,16.052705,897.055718,0.903746
b5.wav,skrzypce,0.028730,0.000204,0.042000,19.926189,20.888060,1627.372407,0.774677
b_4.wav,skrzypce,0.024240,0.000408,0.021000,19.207698,19.504356,983.481198,0.906821
